,Car Name,Car Model,Year,Mileage,Fuel Type,Owner,Price
114,TOYOTA Etios Liva [2014-2016],G,2015,90998,Petrol,1 Owner,₹4.75L
115,HYUNDAI VERNA,VTVT 1.6,2011,76888,Petrol,3 Owner,₹3.5L
116,MARUTI SUZUKI ERTIGA,ZXI,2014,80288,Petrol,3 Owner,₹5.2L
117,MARUTI SUZUKI BALENO,1 2 DELTA,2019,57722,Petrol,1 Owner,₹5.9L
118,HYUNDAI CRETA,1.6 SX PLUS PETROL,2015,87773,Petrol,2 Owner,₹12L
119,MARUTI SUZUKI SWIFT,LDI,2010,56000,Diesel,1 Owner,₹5L
120,MARUTI SUZUKI BALENO,1 2 ALPHA,2018,45000,Diesel,1 Owner,₹6.5L
121,TATA MOTORS TIAGO,XT DIESEL,2016,88847,Diesel,2 Owner,₹3.9L
122,Renault Triber,RXZ,2019,55000,Petrol,1 Owner,₹6.25L
123,MARUTI SUZUKI VITARA BREZZA,LXI,N/A,N/A,N/A,N/A,₹8L
124,TOYOTA FORTUNER,2.5 Sportivo 4x2 MT,2013,125438,Diesel,1 Owner,₹13.8L
125,MARUTI SUZUKI VITARA BREZZA,ZDI+ AMT Dual- Tone,2019,28500,Diesel,1 Owner,₹9.8L
126,MAHINDRA Bolero Power+,ZLX BS4 Power +,2018,55000,Diesel,1 Owner,₹8L
127,MARUTI SUZUKI EECO,5 STR,2020,33825,Petrol,1 Owner,₹4.8L
128,MAHINDRA SCORPIO,S4 Plus 4WD,2017,49000,Diesel,1 Owner,₹9.11L
129,HYUNDAI CRETA,1.5 SX (O) IVT,2018,47523,Petrol,1 Owner,₹8.5L
130,Ford EcoSport [2013-2015],Trend 1.5 TDCi,2013,86373,Diesel,1 Owner,₹5.8L
131,TOYOTA INNOVA,2.0 E,2010,78000,Petrol,1 Owner,₹5.5L
132,MARUTI SUZUKI ERTIGA,ERTIGA SMART HYBRID VXI,2013,650000,Petrol,1 Owner,₹6.5L
133,MARUTI SUZUKI ERTIGA,LDI,2013,120000,Diesel,1 Owner,₹5.5L
134,MARUTI SUZUKI WAGON R,LXI CNG,2021,94009,CNG,1 Owner,₹5L
135,MARUTI SUZUKI ALTO,VXI PLUS,2020,5110,CNG,1 Owner,₹3.85L
136,HONDA CITY [2008-2011],1.5 S MT,2011,180000,Petrol,1 Owner,₹8.9L
137,MAHINDRA XUV500,W8,2015,118000,Diesel,1 Owner,₹5L
138,MAHINDRA BOLERO,DI BS III,2013,85000,Diesel,2 Owner,₹3.5L
139,HONDA Amaze [2013-2016],1.5 EX i-DTEC,2014,56000,Diesel,2 Owner,₹4.5L
140,HYUNDAI I20,Asta 1.2,2017,140000,Petrol,1 Owner,₹5.9L
141,MARUTI SUZUKI ERTIGA,VXI,2022,14000,Diesel,1 Owner,₹10.8L
142,MARUTI SUZUKI Dzire,LXI Metallic,2019,160000,Petrol,1 Owner,₹7.9L
143,MARUTI SUZUKI ERTIGA,VDI,2019,76000,Diesel,1 Owner,₹10.6L
144,MARUTI SUZUKI SWIFT DZIRE,LDi,2014,150000,Diesel,2 Owner,₹7.5L
145,Ford EcoSport [2013-2015],TITANIUM 1.5 TDCI,2015,130000,Diesel,1 Owner,₹7.2L
146,MARUTI SUZUKI CIAZ,ZXI AT,2015,160000,Petrol,2 Owner,₹7.5L
147,HYUNDAI CRETA,1.6 SX PLUS PETROL,2018,9000,Petrol,1st Owner,₹9L
148,MAHINDRA XUV500,W6,2014,81000,Diesel,1st Owner,₹5.8L
